
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-08-07


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, San Francisco
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 23, -, 1.0, -, 1.2, 5.0, 0.0, "San Francisco", 1957, "Golden Gate Park", 5.28, Reverse, 9.74, 11.02, 874.72, 0.875, 1.0, RSN23_SANFRAN_GGP010.AT2, RSN23_SANFRAN_GGP100.AT2 , RSN23_SANFRAN_GGP-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-23 SRSS pSa (g)
0.01,0.12884658,0.12884658,0.12884658,0.12884658
0.02,0.13075573,0.13075573,0.13075573,0.13075573
0.022,0.13179586,0.13179586,0.13179586,0.13179586
0.025,0.13288588,0.13288588,0.13288588,0.13288588
0.029,0.13352597,0.13352597,0.13352597,0.13352597
0.03,0.13407889,0.13407889,0.13407889,0.13407889
0.032,0.13469583,0.13469583,0.13469583,0.13469583
0.035,0.13916119,0.13916119,0.13916119,0.13916119
0.036,0.13854579,0.13854579,0.13854579,0.13854579
0.04,0.14073564,0.14073564,0.14073564,0.14073564
0.042,0.14719082,0.14719082,0.14719082,0.14719082
0.044,0.14776052,0.14776052,0.14776052,0.14776052
0.045,0.14675903,0.14675903,0.14675903,0.14675903
0.046,0.14666069,0.14666069,0.14666069,0.14666069
0.048,0.15489261,0.15489261,0.15489261,0.15489261
0.05,0.16283702,0.16283702,0.16283702,0.16283702
0.055,0.1510328,0.1510328,0.1510328,0.1510328
0.06,0.16186974,0.16186974,0.16186974,0.16186974
0.065,0.17653562,0.17653562,0.17653562,0.17653562
0.067,0.17700534,0.17700534,0.17700534,0.17700534
0.07,0.18453364,0.18453364,0.18453364,0.18453364
0.075,0.19948991,0.19948991,0.19948991,0.19948991
0.08,0.21746124,0.21746124,0.21746124,0.21746124
0.085,0.21017867,0.21017867,0.21017867,0.21017867
0.09,0.24595678,0.24595678,0.24595678,0.24595678
0.095,0.27371431,0.27371431,0.27371431,0.27371431
0.1,0.27967544,0.27967544,0.27967544,0.27967544
0.11,0.32819002,0.32819002,0.32819002,0.32819002
0.12,0.32545533,0.32545533,0.32545533,0.32545533
0.13,0.38784688,0.38784688,0.38784688,0.38784688
0.133,0.40126087,0.40126087,0.40126087,0.40126087
0.14,0.39771059,0.39771059,0.39771059,0.39771059
0.15,0.38254689,0.38254689,0.38254689,0.38254689
0.16,0.33295484,0.33295484,0.33295484,0.33295484
0.17,0.32276746,0.32276746,0.32276746,0.32276746
0.18,0.34287312,0.34287312,0.34287312,0.34287312
0.19,0.36211752,0.36211752,0.36211752,0.36211752
0.2,0.38456701,0.38456701,0.38456701,0.38456701
0.22,0.41869927,0.41869927,0.41869927,0.41869927
0.24,0.39214671,0.39214671,0.39214671,0.39214671
